"subclass_id";"subclass_name";"class_id";"class_name";"group";"group_color";"workers";"workers_risk";"workers_risk_percentage";"score"
"2710-4/01";"Fabricação de geradores de corrente contínua e alternada, peças e acessórios";"27.10-4";"Fabricação de geradores, transformadores e motores elétricos";"Indústrias de Transformação";"#314b6b";"5542";"506";"9.130277878022374";"46.98129435823408"
"2710-4/02";"Fabricação de transformadores, indutores, conversores, sincronizadores e semelhantes, peças e acessórios";"27.10-4";"Fabricação de geradores, transformadores e motores elétricos";"Indústrias de Transformação";"#314b6b";"12740";"989";"7.762951334379905";"45.444086865515445"
"2710-4/03";"Fabricação de motores elétricos, peças e acessórios";"27.10-4";"Fabricação de geradores, transformadores e motores elétricos";"Indústrias de Transformação";"#314b6b";"11890";"399";"3.3557611438183343";"43.867395570507426"
"2721-0/00";"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores";"27.21-0";"Fabricação de pilhas, baterias e acumuladores elétricos, exceto para veículos automotores";"Indústrias de Transformação";"#314b6b";"2106";"104";"4.938271604938271";"44.61522633744858"
"2722-8/01";"Fabricação de baterias e acumuladores para veículos automotores";"27.22-8";"Fabricação de baterias e acumuladores para veículos automotores";"Indústrias de Transformação";"#314b6b";"8351";"550";"6.586037600287391";"45.01249351375085"
"2722-8/02";"Recondicionamento de baterias e acumuladores para veículos automotores";"27.22-8";"Fabricação de baterias e acumuladores para veículos automotores";"Indústrias de Transformação";"#314b6b";"73";"9";"12.32876712328767";"47.63926940639271"
"2731-7/00";"Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica";"27.31-7";"Fabricação de aparelhos e equipamentos para distribuição e controle de energia elétrica";"Indústrias de Transformação";"#314b6b";"18275";"1839";"10.062927496580027";"47.88145918832646"
"2732-5/00";"Fabricação de material elétrico para instalações em circuito de consumo";"27.32-5";"Fabricação de material elétrico para instalações em circuito de consumo";"Indústrias de Transformação";"#314b6b";"8095";"813";"10.043236565781347";"46.00156475190446"
"2733-3/00";"Fabricação de fios, cabos e condutores elétricos isolados";"27.33-3";"Fabricação de fios, cabos e condutores elétricos isolados";"Indústrias de Transformação";"#314b6b";"21535";"1622";"7.531924773624333";"47.516956891881435"
"2740-6/01";"Fabricação de lâmpadas";"27.40-6";"Fabricação de lâmpadas e outros equipamentos de iluminação";"Indústrias de Transformação";"#314b6b";"834";"72";"8.633093525179856";"46.05595523581135"
"2740-6/02";"Fabricação de luminárias e outros equipamentos de iluminação";"27.40-6";"Fabricação de lâmpadas e outros equipamentos de iluminação";"Indústrias de Transformação";"#314b6b";"8826";"1208";"13.686834353047814";"46.73155072135358"
"2751-1/00";"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico, peças e acessórios";"27.51-1";"Fabricação de fogões, refrigeradores e máquinas de lavar e secar para uso doméstico";"Indústrias de Transformação";"#314b6b";"28857";"1597";"5.534185812801053";"45.44334707927594"
"2759-7/01";"Fabricação de aparelhos elétricos de uso pessoal, peças e acessórios";"27.59-7";"Fabricação de aparelhos eletrodomésticos não especificados anteriormente";"Indústrias de Transformação";"#314b6b";"1107";"89";"8.039747064137307";"45.53026196928635"
"2759-7/99";"Fabricação de outros aparelhos eletrodomésticos não especificados anteriormente, peças e acessórios";"27.59-7";"Fabricação de aparelhos eletrodomésticos não especificados anteriormente";"Indústrias de Transformação";"#314b6b";"17423";"1238";"7.1055501348791825";"46.076125428074"
"2790-2/01";"Fabricação de eletrodos, contatos e outros artigos de carvão e grafita para uso elétrico, eletroímãs e isoladores";"27.90-2";"Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente";"Indústrias de Transformação";"#314b6b";"1769";"237";"13.397399660825323";"47.12587149048427"
"2790-2/02";"Fabricação de equipamentos para sinalização e alarme";"27.90-2";"Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente";"Indústrias de Transformação";"#314b6b";"3010";"380";"12.624584717607974";"48.05825027685494"
"2790-2/99";"Fabricação de outros equipamentos e aparelhos elétricos não especificados anteriormente";"27.90-2";"Fabricação de equipamentos e aparelhos elétricos não especificados anteriormente";"Indústrias de Transformação";"#314b6b";"21150";"2244";"10.609929078014185";"45.981702127659595"
"2811-9/00";"Fabricação de motores e turbinas, peças e acessórios, exceto para aviões e veículos rodoviários";"28.11-9";"Fabricação de motores e turbinas, exceto para aviões e veículos rodoviários";"Indústrias de Transformação";"#314b6b";"5382";"453";"8.416945373467112";"46.594760312151635"
"2812-7/00";"Fabricação de equipamentos hidráulicos e pneumáticos, peças e acessórios, exceto válvulas";"28.12-7";"Fabricação de equipamentos hidráulicos e pneumáticos, exceto válvulas";"Indústrias de Transformação";"#314b6b";"11087";"1490";"13.439162983674574";"46.53032079612753"
"2813-5/00";"Fabricação de válvulas, registros e dispositivos semelhantes, peças e acessórios";"28.13-5";"Fabricação de válvulas, registros e dispositivos semelhantes";"Indústrias de Transformação";"#314b6b";"15502";"1260";"8.127983486001806";"46.63387519889907"
"2814-3/01";"Fabricação de compressores para uso industrial, peças e acessórios";"28.14-3";"Fabricação de compressores";"Indústrias de Transformação";"#314b6b";"9709";"3472";"35.760634462869504";"51.755656263947536"
"2814-3/02";"Fabricação de compressores para uso não industrial, peças e acessórios";"28.14-3";"Fabricação de compressores";"Indústrias de Transformação";"#314b6b";"2270";"25";"1.1013215859030838";"55.354478707782675"
"2815-1/01";"Fabricação de rolamentos para fins industriais";"28.15-1";"Fabricação de equipamentos de transmissão para fins industriais";"Indústrias de Transformação";"#314b6b";"1068";"83";"7.771535580524344";"43.9019975031211"
"2815-1/02";"Fabricação de equipamentos de transmissão para fins industriais, exceto rolamentos";"28.15-1";"Fabricação de equipamentos de transmissão para fins industriais";"Indústrias de Transformação";"#314b6b";"8071";"747";"9.255358691611944";"45.0579027794986"
"2821-6/01";"Fabricação de fornos industriais, aparelhos e equipamentos não elétricos para instalações térmicas, peças e acessórios";"28.21-6";"Fabricação de aparelhos e equipamentos para instalações térmicas";"Indústrias de Transformação";"#314b6b";"3107";"433";"13.93627293208883";"46.749490398026"
"2821-6/02";"Fabricação de estufas e fornos elétricos para fins industriais, peças e acessórios";"28.21-6";"Fabricação de aparelhos e equipamentos para instalações térmicas";"Indústrias de Transformação";"#314b6b";"1091";"154";"14.115490375802016";"47.10693553315"
"2822-4/01";"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de pessoas, peças e acessórios";"28.22-4";"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas";"Indústrias de Transformação";"#314b6b";"5405";"1256";"23.237742830712303";"49.272833795868024"
"2822-4/02";"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas, peças e acessórios";"28.22-4";"Fabricação de máquinas, equipamentos e aparelhos para transporte e elevação de cargas e pessoas";"Indústrias de Transformação";"#314b6b";"12833";"1778";"13.854905322216164";"46.86659393750489"
"2823-2/00";"Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial, peças e acessórios";"28.23-2";"Fabricação de máquinas e aparelhos de refrigeração e ventilação para uso industrial e comercial";"Indústrias de Transformação";"#314b6b";"19978";"3018";"15.106617279006906";"47.537524610404795"
"2824-1/01";"Fabricação de aparelhos e equipamentos de ar condicionado para uso industrial";"28.24-1";"Fabricação de aparelhos e equipamentos de ar condicionado";"Indústrias de Transformação";"#314b6b";"588";"84";"14.285714285714285";"47.039682539682524"
"2824-1/02";"Fabricação de aparelhos e equipamentos de ar condicionado para uso não industrial";"28.24-1";"Fabricação de aparelhos e equipamentos de ar condicionado";"Indústrias de Transformação";"#314b6b";"3998";"376";"9.404702351175589";"47.345756211439074"
"2825-9/00";"Fabricação de máquinas e equipamentos para saneamento básico e ambiental, peças e acessórios";"28.25-9";"Fabricação de máquinas e equipamentos para saneamento básico e ambiental";"Indústrias de Transformação";"#314b6b";"3232";"396";"12.252475247524753";"47.45523927392745"
