region,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
"Espírito Santo",2020-04-03,-59,-16,-58,-62,-39,19
"Espírito Santo",2020-04-04,-61,-13,-66,-63,-33,15
"Espírito Santo",2020-04-05,-67,-28,-72,-68,-30,16
"Espírito Santo",2020-04-06,-49,-12,-50,-58,-33,16
"Espírito Santo",2020-04-07,-46,-8,-42,-56,-33,15
"Espírito Santo",2020-04-08,-48,-6,-54,-57,-35,16
"Espírito Santo",2020-04-09,-45,10,-52,-57,-38,16
"Espírito Santo",2020-04-10,-74,-46,-66,-74,-71,27
"Espírito Santo",2020-04-11,-56,-5,-65,-57,-30,14
"Espírito Santo",2020-04-12,-67,-26,-75,-64,-27,14
"Espírito Santo",2020-04-13,-49,-18,-53,-56,-31,16
"Espírito Santo",2020-04-14,-49,-19,-45,-58,-32,16
"Espírito Santo",2020-04-15,-50,-17,-47,-58,-32,17
"Espírito Santo",2020-04-16,-52,-12,-47,-57,-32,17
"Espírito Santo",2020-04-17,-53,-5,-55,-55,-30,18
"Espírito Santo",2020-04-18,-59,-11,-63,-56,-24,13
"Espírito Santo",2020-04-19,-67,-21,-66,-66,-25,14
"Espírito Santo",2020-04-20,-66,-37,-48,-71,-61,21
"Espírito Santo",2020-04-21,-71,-46,-44,-76,-68,21
"Espírito Santo",2020-04-22,-48,-10,-43,-54,-27,14
"Espírito Santo",2020-04-23,-51,-14,-46,-56,-28,16
"Espírito Santo",2020-04-24,-54,-12,-52,-53,-25,16
"Espírito Santo",2020-04-25,-58,-13,-62,-56,-20,13
"Espírito Santo",2020-04-26,-64,-24,-63,-65,-22,14
"Espírito Santo",2020-04-27,-52,-18,-49,-55,-24,15
"Espírito Santo",2020-04-28,-50,-17,-42,-55,-26,12
"Espírito Santo",2020-04-29,-50,-16,-46,-55,-26,15
"Espírito Santo",2020-04-30,-41,9,-41,-50,-24,13
"Espírito Santo",2020-05-01,-70,-67,-47,-74,-67,24
"Espírito Santo",2020-05-02,-52,2,-55,-53,-20,12
"Espírito Santo",2020-05-03,-64,-22,-67,-62,-21,13
"Espírito Santo",2020-05-04,-47,-7,-45,-52,-22,14
"Espírito Santo",2020-05-05,-45,-7,-39,-51,-23,13
"Espírito Santo",2020-05-06,-44,-5,-39,-49,-23,14
"Espírito Santo",2020-05-07,-46,-4,-53,-50,-25,16
"Espírito Santo",2020-05-08,-44,7,-52,-44,-21,15
"Espírito Santo",2020-05-09,-45,8,-61,-45,-14,12
"Espírito Santo",2020-05-10,-59,-8,-69,-58,-8,11
"Espírito Santo",2020-05-11,-44,-12,-46,-49,-22,14
"Espírito Santo",2020-05-12,-44,-11,-40,-51,-22,14
"Espírito Santo",2020-05-13,-44,-14,-41,-52,-24,15
"Espírito Santo",2020-05-14,-46,-12,-44,-51,-24,14
"Espírito Santo",2020-05-15,-50,-10,-58,-49,-22,16
"Espírito Santo",2020-05-16,-58,-14,-72,-54,-20,15
"Espírito Santo",2020-05-17,-64,-24,-71,-68,-18,15
"Espírito Santo",2020-05-18,-46,-14,-45,-52,-21,14
"Espírito Santo",2020-05-19,-47,-16,-50,-52,-22,14
"Espírito Santo",2020-05-20,-49,-9,-68,-52,-23,15
"Espírito Santo",2020-05-21,-48,-6,-68,-50,-23,16
"Espírito Santo",2020-05-22,-51,-3,-72,-48,-20,15
"Espírito Santo",2020-05-23,-57,-7,-76,-52,-15,12
"Espírito Santo",2020-05-24,-66,-18,-80,-62,-15,13
"Espírito Santo",2020-05-25,-53,-15,-74,-52,-24,17
"Espírito Santo",2020-05-26,-49,-10,-68,-52,-20,14
"Espírito Santo",2020-05-27,-47,-8,-67,-50,-21,15
"Espírito Santo",2020-05-28,-48,-5,-69,-51,-21,15
"Espírito Santo",2020-05-29,-48,6,-71,-46,-18,15
"Espírito Santo",2020-05-30,-54,1,-76,-50,-10,12
"Espírito Santo",2020-05-31,-65,-17,-79,-60,-11,13
"Espírito Santo",2020-06-01,-44,-3,-68,-47,-18,14
"Espírito Santo",2020-06-02,-44,-4,-65,-49,-19,13
"Espírito Santo",2020-06-03,-43,-4,-65,-47,-19,14
"Espírito Santo",2020-06-04,-43,0,-66,-47,-19,14
"Espírito Santo",2020-06-05,-42,10,-69,-41,-16,14
"Espírito Santo",2020-06-06,-53,2,-74,-48,-11,12
"Espírito Santo",2020-06-07,-66,-18,-80,-62,-12,14
"Espírito Santo",2020-06-08,-39,0,-65,-45,-16,13
"Espírito Santo",2020-06-09,-39,-3,-64,-46,-17,13
"Espírito Santo",2020-06-10,-34,9,-61,-41,-17,12
"Espírito Santo",2020-06-11,-58,-29,-65,-64,-56,21
"Espírito Santo",2020-06-12,-38,15,-67,-46,-26,15
"Espírito Santo",2020-06-13,-57,-10,-72,-51,-12,12
"Espírito Santo",2020-06-14,-64,-21,-76,-55,-8,12
"Espírito Santo",2020-06-15,-43,-10,-70,-43,-18,14
"Espírito Santo",2020-06-16,-46,-10,-71,-49,-20,16
"Espírito Santo",2020-06-17,-42,-7,-68,-46,-19,15
"Espírito Santo",2020-06-18,-42,-6,-66,-46,-19,15
"Espírito Santo",2020-06-19,-46,-4,-73,-43,-19,15
