"name","workers","workers_risk","workers_risk_percentage","score","group","group_color"
"Transporte aéreo de carga","1853","671","36.21154883971938","53.72369131138694","Transporte, Armazenagem e Correio","#f7b78f"
"Transporte espacial","4","4","100","62.083333333333336","Transporte, Armazenagem e Correio","#f7b78f"
"Armazenamento","80397","13705","17.046655969750116","49.34957357447002","Transporte, Armazenagem e Correio","#f7b78f"
"Carga e descarga","48582","5641","11.611296364908814","49.455724342349065","Transporte, Armazenagem e Correio","#f7b78f"
"Concessionárias de rodovias, pontes, túneis e serviços relacionados","27090","14558","53.739387227759316","58.01040974529346","Transporte, Armazenagem e Correio","#f7b78f"
"Terminais rodoviários e ferroviários","6465","1397","21.608662026295438","52.11982469708683","Transporte, Armazenagem e Correio","#f7b78f"
"Estacionamento de veículos","71028","14095","19.844286760150926","57.64737849862025","Transporte, Armazenagem e Correio","#f7b78f"
"Atividades auxiliares dos transportes terrestres não especificadas anteriormente","26033","7812","30.00806668459263","51.665053329748076","Transporte, Armazenagem e Correio","#f7b78f"
"Gestão de portos e terminais","37948","6118","16.122061768736167","51.078862302800346","Transporte, Armazenagem e Correio","#f7b78f"
"Atividades de agenciamento marítimo","7685","2492","32.42680546519193","52.81010626762088","Transporte, Armazenagem e Correio","#f7b78f"
