"name","workers","workers_risk","workers_risk_percentage","score","group","group_color"
"Atividades de teleatendimento","451807","365209","80.83296628870292","58.4406114410209","Atividades Administrativas e Serviços Complementares","#343deb"
"Atividades de organização de eventos, exceto culturais e esportivos","47880","17035","35.57852965747703","55.09826649958225","Atividades Administrativas e Serviços Complementares","#343deb"
"Atividades de cobranças e informações cadastrais","91953","36107","39.266799343142694","53.13814303684127","Atividades Administrativas e Serviços Complementares","#343deb"
"Envasamento e empacotamento sob contrato","11984","1183","9.871495327102805","48.037383177570064","Atividades Administrativas e Serviços Complementares","#343deb"
"Atividades de serviços prestados principalmente às empresas não especificadas anteriormente","321001","138400","43.115130482459556","55.790416021549426","Atividades Administrativas e Serviços Complementares","#343deb"
"Administração pública em geral","7108390","4266263","60.017289428407835","63.93519151312738","Administração Pública, Defesa e Seguridade Social","#8a5a3a"
"Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais","52327","38333","73.25663615341983","70.97371019422731","Administração Pública, Defesa e Seguridade Social","#8a5a3a"
"Regulação das atividades econômicas","14160","4061","28.679378531073446","52.97580037664783","Administração Pública, Defesa e Seguridade Social","#8a5a3a"
"Relações exteriores","1706","1605","94.07971864009379","61.963657678780805","Administração Pública, Defesa e Seguridade Social","#8a5a3a"
"Defesa","15224","8345","54.81476615869679","58.718558416535316","Administração Pública, Defesa e Seguridade Social","#8a5a3a"
"Justiça","192649","69193","35.916615191358375","52.13866150356342","Administração Pública, Defesa e Seguridade Social","#8a5a3a"
"Segurança e ordem pública","109657","64773","59.068732502257035","60.256867626629706","Administração Pública, Defesa e Seguridade Social","#8a5a3a"
"Defesa Civil","322","71","22.049689440993788","50.75776397515527","Administração Pública, Defesa e Seguridade Social","#8a5a3a"
